Unicode Code,Glyph,Type,Case,Transformations,Base,Additions
U+1D93,ᶓ,Letter,Small,None,OPEN E,RETROFLEX HOOK
U+1D94,ᶔ,Letter,Small,Reversed,OPEN E,RETROFLEX HOOK
U+1D95,ᶕ,Letter,Small,None,SCHWA,RETROFLEX HOOK
U+1D96,ᶖ,Letter,Small,None,I,RETROFLEX HOOK
U+1D97,ᶗ,Letter,Small,None,OPEN O,RETROFLEX HOOK
U+1D98,ᶘ,Letter,Small,None,ESH,RETROFLEX HOOK
U+1D99,ᶙ,Letter,Small,None,U,RETROFLEX HOOK
U+1D9A,ᶚ,Letter,Small,None,EZH,RETROFLEX HOOK
U+1D9B,ᶛ,Modifier,Small,Turned, ALPHA,
U+1D9C,ᶜ,Modifier,Small,None,C,
U+1D9D,ᶝ,Modifier,Small,None,C,CURL
U+1D9E,ᶞ,Modifier,Small,None,ETH,
U+1D9F,ᶟ,Modifier,Small,Reversed, OPEN E,
U+1DA0,ᶠ,Modifier,Small,None,F,
U+1DA1,ᶡ,Modifier,Small,None,DOTLESS J,STROKE
U+1DA2,ᶢ,Modifier,Small,None,SCRIPT G,
U+1DA3,ᶣ,Modifier,Small,Turned, H,
U+1DA4,ᶤ,Modifier,Small,None,I,STROKE
U+1DA5,ᶥ,Modifier,Small,None,IOTA,
U+1DA6,ᶦ,Modifier,SmallCap,None,I,
U+1DA7,ᶧ,Modifier,SmallCap,None,I,STROKE
U+1DA8,ᶨ,Modifier,Small,None,J,CROSSED-TAIL
U+1DA9,ᶩ,Modifier,Small,None,L,RETROFLEX HOOK
U+1DAA,ᶪ,Modifier,Small,None,L,PALATAL HOOK
U+1DAB,ᶫ,Modifier,SmallCap,None,L,
U+1DAC,ᶬ,Modifier,Small,None,M,HOOK
U+1DAD,ᶭ,Modifier,Small,Turned, M,LONG LEG
U+1DAE,ᶮ,Modifier,Small,None,N,LEFT HOOK
U+1DAF,ᶯ,Modifier,Small,None,N,RETROFLEX HOOK
U+1DB0,ᶰ,Modifier,SmallCap,None,N,
U+1DB1,ᶱ,Modifier,Small,None,BARRED O,
U+1DB2,ᶲ,Modifier,Small,None,PHI,
U+1DB3,ᶳ,Modifier,Small,None,S,HOOK
U+1DB4,ᶴ,Modifier,Small,None,ESH,
U+1DB5,ᶵ,Modifier,Small,None,T,PALATAL HOOK
U+1DB6,ᶶ,Modifier,Small,None,U BAR,
U+1DB7,ᶷ,Modifier,Small,None,UPSILON,
U+1DB8,ᶸ,Modifier,SmallCap,None,U,
U+1DB9,ᶹ,Modifier,Small,None,V,HOOK
U+1DBA,ᶺ,Modifier,Small,Turned, V,
U+1DBB,ᶻ,Modifier,Small,None,Z,
U+1DBC,ᶼ,Modifier,Small,None,Z,RETROFLEX HOOK
U+1DBD,ᶽ,Modifier,Small,None,Z,CURL
U+1DBE,ᶾ,Modifier,Small,None,EZH,
U+1DBF,ᶿ,Modifier,Small,None,THETA,
U+1DBC,ᶼ,Modifier,Small,None,Z,RETROFLEX HOOK
U+2C60,Ⱡ,Letter,Capital,None,L,Double Bar,L
U+2C61,ⱡ,Letter,Small,None,L,Double Bar,l
U+2C62,Ɫ,Letter,Capital,None,L,Middle Tilde,L
U+2C63,Ᵽ,Letter,Capital,None,P,Stroke,P
U+2C64,Ɽ,Letter,Capital,None,R,Tail,R
U+2C65,ⱥ,Letter,Small,None,A,Stroke,a
U+2C66,ⱦ,Letter,Small,None,T,Diagonal Stroke,t
U+2C67,Ⱨ,Letter,Capital,None,H,Descender,H
U+2C68,ⱨ,Letter,Small,None,H,Descender,h
U+2C69,Ⱪ,Letter,Capital,None,K,Descender,K
U+2C6A,ⱪ,Letter,Small,None,K,Descender,k
U+2C6B,Ⱬ,Letter,Capital,None,Z,Descender,Z
U+2C6C,ⱬ,Letter,Small,None,Z,Descender,z
U+2C6D,Ɑ,Letter,Capital,None,Alpha,A
U+2C6E,Ɱ,Letter,Capital,None,M,Hook,M
U+2C6F,Ɐ,Letter,Capital,Turned,A,A
U+2C70,Ɒ,Letter,Capital,Turned,Alpha,A
U+2C71,ⱱ,Letter,Small,None,V,Right Hook,v
U+2C72,Ⱳ,Letter,Capital,None,W,Hook,W
U+2C73,ⱳ,Letter,Small,None,W,Hook,w
U+2C74,ⱴ,Letter,Small,None,V,Curl,v
U+2C75,Ⱶ,Letter,Capital,None,Half H,H
U+2C76,ⱶ,Letter,Small,None,Half H,h
U+2C77,ⱷ,Letter,Small,None,Tailless Phi,ɸ
U+2C78,ⱸ,Letter,Small,None,E,Notch,e
U+2C79,ⱹ,Letter,Small,Turned,R,Tail,ɹ
U+2C7A,ⱺ,Letter,Small,None,O,Low Ring Inside,o
U+2C7B,ⱻ,Letter,SmallCap,Turned,E,ɛ
U+2C7C,ⱼ,Subscript,Small,None,J,j
U+2C7D,ⱽ,Modifier Letter Capital V,V
U+2C7E,Ȿ,Letter,Capital,None,S,Swash Tail,S
